n_exteroceptor,vision_distance,p,n_complete,alpha_size,alpha_duration,ks_size,ks_duration,D
32,60,0.020468,60,2.837036,3.0,0.019284,0.015241,2.371561
32,60,0.021303,49,3.0,,0.08646,,
32,60,0.022139,38,,,,,
32,60,0.022974,33,,,,,
32,60,0.02381,21,,,,,
2,70,0.007937,100,,,,,
2,70,0.008772,100,,,,,
2,70,0.009607,100,,,,,
2,70,0.010443,100,,,,,
2,70,0.011278,100,,,,,
2,70,0.012114,102,3.0,3.0,0.018638,0.018638,2.5372760000000003
2,70,0.012949,103,,,,,
2,70,0.013784,110,3.0,3.0,0.027741,0.036831,2.5645719999999996
2,70,0.01462,119,3.0,3.0,0.042042,0.042042,2.584084
2,70,0.015455,161,2.725342,2.888306,0.031493,0.045625,2.190766
2,70,0.016291,444,1.715066,1.805959,0.02844,0.033305,0.47085199999999994
2,70,0.017126,271,1.945118,2.172803,0.03572,0.039415,0.6930559999999999
2,70,0.017962,179,2.174634,2.418091,0.01725,0.034387,1.144362
2,70,0.018797,122,2.542236,2.882812,0.023207,0.032002,1.980257
2,70,0.019632,95,2.710693,,0.049832,,
2,70,0.020468,72,3.0,,0.029204,,
2,70,0.021303,62,,,,,
2,70,0.022139,53,,,,,
2,70,0.022974,46,,,,,
2,70,0.02381,36,,,,,
4,70,0.007937,100,,,,,
4,70,0.008772,100,,,,,
4,70,0.009607,101,,,,,
4,70,0.010443,101,,,,,
4,70,0.011278,100,,,,,
4,70,0.012114,103,,,,,
4,70,0.012949,102,,,,,
4,70,0.013784,109,,,,,
4,70,0.01462,118,2.759253,2.85249,0.015446,0.022167,2.149356
4,70,0.015455,140,2.613867,2.701318,0.029999,0.019984,1.8651680000000002
4,70,0.016291,547,1.690175,1.996645,0.047064,0.051974,0.292568
4,70,0.017126,227,1.886021,2.105786,0.046095,0.056394,0.5942960000000002
4,70,0.017962,162,2.751929,2.404907,0.040837,0.057376,1.7550490000000003
4,70,0.018797,103,2.702344,,0.047322,,
4,70,0.019632,96,2.839307,,0.02698,,
4,70,0.020468,73,,,,,
4,70,0.021303,56,,,,,
4,70,0.022139,51,,,,,
4,70,0.022974,42,,,,,
4,70,0.02381,38,,,,,
8,70,0.007937,100,,,,,
8,70,0.008772,100,,,,,
8,70,0.009607,100,,,,,
8,70,0.010443,100,,,,,
8,70,0.011278,100,,,,,
8,70,0.012114,103,,,,,
8,70,0.012949,104,,,,,
8,70,0.013784,110,3.0,3.0,0.049911,0.049911,2.5998219999999996
8,70,0.01462,111,,,,,
8,70,0.015455,179,2.278271,2.374292,0.044378,0.046349,1.2432900000000002
8,70,0.016291,446,1.835109,2.32688,0.035406,0.041217,0.7386120000000002
8,70,0.017126,246,1.963909,2.15332,0.026092,0.040793,0.6841139999999998
8,70,0.017962,156,2.339868,2.586987,0.034076,0.031519,1.4924500000000003
8,70,0.018797,128,2.676489,2.901562,0.029777,0.17213,2.2799580000000006
8,70,0.019632,79,2.666162,2.917676,0.012845,0.048047,2.14473
8,70,0.020468,66,,,,,
8,70,0.021303,50,,,,,
8,70,0.022139,46,,,,,
8,70,0.022974,43,,,,,
8,70,0.02381,37,,,,,
16,70,0.007937,100,,,,,
16,70,0.008772,100,,,,,
16,70,0.009607,100,,,,,
16,70,0.010443,100,,,,,
16,70,0.011278,100,,,,,
16,70,0.012114,104,,,,,
16,70,0.012949,105,3.0,3.0,0.016485,0.035533,2.552018
16,70,0.013784,109,2.955908,3.0,0.027577,0.033742,2.517227
16,70,0.01462,119,2.74248,2.818213,0.022155,0.031754,2.114602
16,70,0.015455,160,2.368652,2.54187,0.013152,0.023031,1.446705
16,70,0.016291,323,1.650162,1.795709,0.043279,0.028047,0.4257789999999999
16,70,0.017126,228,1.8772,2.048036,0.031989,0.040852,0.49807700000000016
16,70,0.017962,151,2.201367,2.373706,0.016102,0.054347,1.1455219999999997
16,70,0.018797,111,2.384766,2.647632,0.034577,0.045424,1.6123990000000001
16,70,0.019632,79,2.963965,3.0,0.02147,0.02613,2.511565
16,70,0.020468,63,,,,,
16,70,0.021303,42,,,,,
16,70,0.022139,37,,,,,
16,70,0.022974,38,,,,,
16,70,0.02381,30,,,,,
32,70,0.007937,100,,,,,
32,70,0.008772,100,,,,,
32,70,0.009607,100,,,,,
32,70,0.010443,100,,,,,
32,70,0.011278,101,3.0,,0.049281,,
32,70,0.012114,102,,,,,
32,70,0.012949,103,3.0,,0.03217,,
32,70,0.013784,112,3.0,3.0,0.034164,0.037318,2.571482
32,70,0.01462,120,2.339062,2.418237,0.039682,0.029865,1.3268460000000002
32,70,0.015455,118,2.051157,2.143506,0.048945,0.069581,0.8131889999999998
32,70,0.016291,188,1.757272,1.889457,0.039419,0.056819,0.464053
32,70,0.017126,267,1.438712,1.594497,0.033199,0.019953,0.5199429999999999
32,70,0.017962,122,2.068927,2.257104,0.027804,0.031021,0.884856
32,70,0.018797,98,2.267651,2.41626,0.046738,0.063433,1.2940819999999997
32,70,0.019632,61,2.745557,2.989746,0.026164,0.017015,2.2784819999999995
32,70,0.020468,54,3.0,3.0,0.016743,0.019944,2.536687
32,70,0.021303,35,,,,,
32,70,0.022139,31,,,,,
32,70,0.022974,17,,,,,
32,70,0.02381,26,,,,,
