p,vision_distance,alpha_size,alpha_duration,ks_duration,ks_size,D
0.015455,120,1.852994,2.201176,0.039698,0.028246,0.6221139999999998
0.016291,120,2.370996,2.594678,0.035071,0.037781,1.538526
0.017126,120,2.656641,3.0,0.044297,0.024628,2.2255659999999997
0.017962,120,3.0,3.0,0.04587,0.012537,2.558407
0.018797,120,,,,,
0.019632,120,,,,,
0.020468,120,,,,,
0.021303,120,,,,,
0.022139,120,,,,,
0.022974,120,,,,,
0.02381,120,,,,,
0.024645,120,,,,,
0.02548,120,,,,,
0.026316,120,,,,,
0.027151,120,,,,,
0.027987,120,,,,,
0.007937,125,,,,,
0.008772,125,,,,,
0.009607,125,,,,,
0.010443,125,3.0,,,0.04494,
0.011278,125,3.0,3.0,0.031085,0.021651,2.552736
0.012114,125,2.926538,2.966748,0.034654,0.028874,2.456814
0.012949,125,2.544067,2.652759,0.042782,0.021403,1.7610110000000003
0.013784,125,2.919214,2.336353,0.056659,0.031457,1.8436830000000002
0.01462,125,1.74997,2.505871,0.035338,0.033734,0.824913
0.015455,125,1.843803,2.59563,0.076548,0.046661,1.0626419999999999
0.016291,125,2.408496,2.553516,0.090013,0.090477,1.642502
0.017126,125,3.0,,,0.021369,
0.017962,125,,,,,
0.018797,125,3.0,,,0.047209,
0.019632,125,,,,,
0.020468,125,,,,,
0.021303,125,,,,,
