vision_distance,n_agents,n_neurons,p,sigma_eff_mean,sigma_eff_std,susceptibility_mean,susceptibility_std,entropy_mean,entropy_std
10,256,64,0.01963241,0.1423074882477522,0.09625676233805186,0.07481123228790239,0.05254767865983437,0.21077467491850257,0.12671743876078467
10,256,64,0.02046784,0.18494998589158057,0.12752327695774981,0.10267602300737053,0.06584016114773084,0.2959146393463016,0.18955107722787468
10,256,64,0.02130326,0.15503674931824207,0.102407463598534,0.08344122546259314,0.05335817018624124,0.24797282945364713,0.15403940470044952
10,256,64,0.02213868,0.22003028318285942,0.11662232142884169,0.11535936781438068,0.05962384481935615,0.34437040677294134,0.17476778008041127
10,256,64,0.0229741,0.2050474528223276,0.13222129523211484,0.11985035465913825,0.07624409766269533,0.33540940866805613,0.20723197341477656
10,256,64,0.02380952,0.14500430822372437,0.0920543570093496,0.0758197849849239,0.051766124093006495,0.2291504567489028,0.14251025041466273
10,256,64,0.02464495,0.20506130792200566,0.13594259993110325,0.10996937418240123,0.08065097309495778,0.3212810365948826,0.21454452494889936
10,256,64,0.02548037,0.22006136551499367,0.1364075044941972,0.11398134903865867,0.07225651654352444,0.33658033148385585,0.20296382929870732
10,256,64,0.02631579,0.23508264310657978,0.12363386814760477,0.12463816721574403,0.06941386542514076,0.3590531117748469,0.18616118563342546
10,256,64,0.02715121,0.20005665086209773,0.1449753009857811,0.09140141011448577,0.0714679821461098,0.2870620689354837,0.20715374372149653
10,256,64,0.02798663,0.16007319875061513,0.12414044835808918,0.07371460890281015,0.05550738357771375,0.2305539517197758,0.16726787769415408
15,256,64,0.00793651,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
15,256,64,0.00877193,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
15,256,64,0.00960735,0.0,0.0,0.000999000039882958,0.0,0.011407746933400631,0.0
15,256,64,0.01044277,0.002500000037252903,0.010897247521233321,0.0010039850370958448,2.1729099084805517e-05,0.011454778490588069,0.00020500580493739633
